Transaction ID,Date,Customer ID,Quantity,Poduct ID
1,11/24/2023,CUST001,3,2551
2,2/27/2023,CUST002,2,6369
3,1/13/2023,CUST003,1,4916
4,5/21/2023,CUST004,1,4172
5,5/6/2023,CUST005,2,3088
6,4/25/2023,CUST006,1,6178
7,3/13/2023,CUST007,2,5415
8,2/22/2023,CUST008,4,1952
9,12/13/2023,CUST009,2,5777
10,10/7/2023,CUST010,4,3671
11,2/14/2023,CUST011,2,4935
12,10/30/2023,CUST012,3,6290
13,8/5/2023,CUST013,3,6961
14,1/17/2023,CUST014,4,5061
15,1/16/2023,CUST015,4,6177
16,2/17/2023,CUST016,3,4081
17,4/22/2023,CUST017,4,6294
18,4/30/2023,CUST018,2,1545
19,9/16/2023,CUST019,2,2469
20,11/5/2023,CUST020,3,5013
21,1/14/2023,CUST021,1,5040
22,10/15/2023,CUST022,2,1809
23,4/12/2023,CUST023,4,6317
24,11/29/2023,CUST024,1,6700
25,12/26/2023,CUST025,1,4584
26,10/7/2023,CUST026,2,3143
27,8/3/2023,CUST027,2,3329
28,4/23/2023,CUST028,1,6799
29,8/18/2023,CUST029,1,4290
30,10/29/2023,CUST030,3,3394
31,5/23/2023,CUST031,4,3739
32,1/4/2023,CUST032,3,4285
33,3/23/2023,CUST033,2,6839
34,12/24/2023,CUST034,3,4281
35,8/5/2023,CUST035,3,2518
36,6/24/2023,CUST036,3,4999
37,5/23/2023,CUST037,3,4691
38,3/21/2023,CUST038,4,1892
39,4/21/2023,CUST039,4,6762
40,6/22/2023,CUST040,1,6957
41,2/22/2023,CUST041,2,3300
42,2/17/2023,CUST042,3,4126
43,7/14/2023,CUST043,1,1622
44,2/19/2023,CUST044,1,6359
45,7/3/2023,CUST045,1,3611
46,6/26/2023,CUST046,4,2283
47,11/6/2023,CUST047,3,4204
48,5/16/2023,CUST048,3,5241
49,1/23/2023,CUST049,2,2488
50,8/24/2023,CUST050,3,6309
51,10/2/2023,CUST051,3,5512
52,3/5/2023,CUST052,1,2250
53,7/13/2023,CUST053,2,6967
54,2/10/2023,CUST054,3,6133
55,10/10/2023,CUST055,4,3101
56,5/31/2023,CUST056,3,6145
57,11/18/2023,CUST057,1,5296
58,11/13/2023,CUST058,4,2614
59,7/5/2023,CUST059,1,3537
60,10/23/2023,CUST060,3,4197
61,4/9/2023,CUST061,4,2945
62,12/27/2023,CUST062,2,6931
63,2/5/2023,CUST063,2,6986
64,1/24/2023,CUST064,4,2762
65,12/5/2023,CUST065,4,5088
66,4/27/2023,CUST066,1,6360
67,5/29/2023,CUST067,4,4105
68,2/10/2023,CUST068,1,3930
69,4/30/2023,CUST069,3,4844
70,2/21/2023,CUST070,1,3044
71,7/14/2023,CUST071,4,1836
72,5/23/2023,CUST072,4,1816
73,8/21/2023,CUST073,3,5625
74,11/22/2023,CUST074,4,5575
75,7/6/2023,CUST075,4,6144
76,3/25/2023,CUST076,2,2367
77,7/9/2023,CUST077,2,4898
78,7/1/2023,CUST078,3,2223
79,4/18/2023,CUST079,1,6359
80,12/10/2023,CUST080,2,5108
81,5/17/2023,CUST081,1,6248
82,12/26/2023,CUST082,4,4002
83,12/16/2023,CUST083,2,5906
84,11/28/2023,CUST084,3,3392
85,2/6/2023,CUST085,3,3945
86,11/8/2023,CUST086,3,1704
87,11/22/2023,CUST087,2,6241
88,3/29/2023,CUST088,1,6454
89,10/1/2023,CUST089,4,3985
90,5/6/2023,CUST090,1,4710
91,3/25/2023,CUST091,1,4683
92,8/25/2023,CUST092,4,3545
93,7/14/2023,CUST093,4,5745
94,5/19/2023,CUST094,2,3396
95,11/24/2023,CUST095,2,2227
96,12/19/2023,CUST096,2,6719
97,10/13/2023,CUST097,2,2736
98,4/23/2023,CUST098,2,2707
99,12/17/2023,CUST099,4,6111
100,6/16/2023,CUST100,1,2226
101,1/29/2023,CUST101,2,4424
102,4/28/2023,CUST102,2,3815
103,1/17/2023,CUST103,1,1925
104,6/11/2023,CUST104,2,3971
105,7/25/2023,CUST105,1,5927
106,5/18/2023,CUST106,1,2243
107,2/3/2023,CUST107,4,3584
108,4/19/2023,CUST108,3,5224
109,10/18/2023,CUST109,4,3608
110,6/11/2023,CUST110,3,3656
111,4/19/2023,CUST111,3,6355
112,12/2/2023,CUST112,3,6732
113,9/13/2023,CUST113,2,5158
114,7/22/2023,CUST114,4,3830
115,11/26/2023,CUST115,3,4935
116,8/23/2023,CUST116,1,5555
117,3/15/2023,CUST117,2,4312
118,5/16/2023,CUST118,4,2850
119,3/13/2023,CUST119,3,2110
120,5/7/2023,CUST120,1,1952
121,10/15/2023,CUST121,4,6050
122,10/3/2023,CUST122,4,6755
123,5/15/2023,CUST123,2,3847
124,10/27/2023,CUST124,4,6943
125,8/8/2023,CUST125,2,2991
126,10/26/2023,CUST126,3,5173
127,7/24/2023,CUST127,2,5790
128,7/5/2023,CUST128,1,3816
129,4/23/2023,CUST129,2,3896
130,3/12/2023,CUST130,1,4312
131,9/18/2023,CUST131,2,6121
132,9/10/2023,CUST132,4,3726
133,2/16/2023,CUST133,3,6117
134,1/25/2023,CUST134,1,3810
135,2/26/2023,CUST135,2,4415
136,3/20/2023,CUST136,2,1712
137,11/18/2023,CUST137,2,6264
138,3/23/2023,CUST138,4,2452
139,12/15/2023,CUST139,4,6077
140,8/5/2023,CUST140,1,5043
141,11/2/2023,CUST141,1,5661
142,2/2/2023,CUST142,4,3963
143,7/17/2023,CUST143,1,4747
144,7/15/2023,CUST144,3,5627
145,11/2/2023,CUST145,3,2646
146,8/28/2023,CUST146,4,6559
147,9/28/2023,CUST147,1,5155
148,5/9/2023,CUST148,2,3736
149,10/11/2023,CUST149,3,4148
150,1/6/2023,CUST150,4,5851
151,12/15/2023,CUST151,1,5849
152,2/28/2023,CUST152,4,4018
153,12/16/2023,CUST153,2,5761
154,10/2/2023,CUST154,3,6890
155,5/17/2023,CUST155,4,6735
156,11/25/2023,CUST156,4,4545
157,6/24/2023,CUST157,4,6770
158,2/27/2023,CUST158,2,3621
159,5/31/2023,CUST159,4,3605
160,8/11/2023,CUST160,2,4730
161,3/22/2023,CUST161,2,6404
162,8/21/2023,CUST162,2,4455
163,1/2/2023,CUST163,3,5613
164,5/15/2023,CUST164,3,3615
165,9/14/2023,CUST165,4,1687
166,4/2/2023,CUST166,4,3504
167,9/17/2023,CUST167,3,5984
168,2/24/2023,CUST168,1,3529
169,11/17/2023,CUST169,3,2276
170,6/2/2023,CUST170,2,4409
171,11/24/2023,CUST171,3,2521
172,9/17/2023,CUST172,2,1722
173,11/8/2023,CUST173,4,6501
174,4/12/2023,CUST174,1,5577
175,3/20/2023,CUST175,4,2496
176,7/11/2023,CUST176,2,6442
177,3/24/2023,CUST177,2,4388
178,10/4/2023,CUST178,2,4814
179,9/29/2023,CUST179,1,5178
180,1/1/2023,CUST180,3,2886
181,11/3/2023,CUST181,4,4931
182,6/15/2023,CUST182,4,3312
183,9/8/2023,CUST183,3,5611
184,1/10/2023,CUST184,4,5533
185,2/27/2023,CUST185,1,6265
186,7/5/2023,CUST186,4,1508
187,6/7/2023,CUST187,2,6242
188,5/3/2023,CUST188,3,3623
189,1/30/2023,CUST189,1,2634
190,5/4/2023,CUST190,3,1855
191,10/18/2023,CUST191,1,5982
192,2/10/2023,CUST192,2,5691
193,2/13/2023,CUST193,3,6547
194,9/6/2023,CUST194,4,3238
195,2/5/2023,CUST195,1,1757
196,9/30/2023,CUST196,3,4729
197,3/6/2023,CUST197,4,6856
198,3/7/2023,CUST198,3,2546
199,12/4/2023,CUST199,3,4773
200,9/1/2023,CUST200,3,2398
201,10/9/2023,CUST201,1,3144
202,3/26/2023,CUST202,4,4514
203,5/16/2023,CUST203,2,6248
204,9/28/2023,CUST204,1,5010
205,11/7/2023,CUST205,1,4497
206,8/5/2023,CUST206,1,5414
207,4/19/2023,CUST207,2,1716
208,10/4/2023,CUST208,4,6429
209,12/20/2023,CUST209,4,2813
210,4/13/2023,CUST210,4,4465
211,1/1/2024,CUST211,3,5956
212,6/9/2023,CUST212,3,4244
213,7/24/2023,CUST213,3,4425
214,12/10/2023,CUST214,2,1935
215,11/29/2023,CUST215,3,6545
216,7/11/2023,CUST216,2,1663
217,8/13/2023,CUST217,4,1570
218,9/22/2023,CUST218,3,6265
219,8/20/2023,CUST219,3,6247
220,3/3/2023,CUST220,1,5287
221,5/7/2023,CUST221,2,6937
222,4/26/2023,CUST222,4,1989
223,2/2/2023,CUST223,1,6176
224,6/23/2023,CUST224,1,5804
225,1/11/2023,CUST225,4,1984
226,10/29/2023,CUST226,1,3345
227,10/11/2023,CUST227,2,6676
228,4/28/2023,CUST228,2,4156
229,10/29/2023,CUST229,3,1832
230,4/23/2023,CUST230,1,5545
231,1/4/2023,CUST231,3,2876
232,2/6/2023,CUST232,1,4962
233,12/29/2023,CUST233,2,1856
234,11/20/2023,CUST234,2,6563
235,1/31/2023,CUST235,2,5746
236,4/28/2023,CUST236,1,3902
237,2/4/2023,CUST237,2,1950
238,1/17/2023,CUST238,1,5382
239,6/19/2023,CUST239,3,3904
240,2/6/2023,CUST240,1,1546
241,9/21/2023,CUST241,3,1673
242,5/2/2023,CUST242,1,3643
243,5/23/2023,CUST243,3,6018
244,12/9/2023,CUST244,2,2349
245,9/6/2023,CUST245,3,4816
246,4/20/2023,CUST246,2,3265
247,10/4/2023,CUST247,2,6345
248,3/9/2023,CUST248,3,5747
249,10/20/2023,CUST249,1,3882
250,10/23/2023,CUST250,1,4304
251,8/31/2023,CUST251,4,3196
252,5/5/2023,CUST252,1,1836
253,8/31/2023,CUST253,4,5670
254,7/28/2023,CUST254,1,2157
255,4/8/2023,CUST255,1,6126
256,2/18/2023,CUST256,2,4573
257,2/19/2023,CUST257,4,2212
258,12/4/2023,CUST258,1,4839
259,8/9/2023,CUST259,4,4686
260,7/1/2023,CUST260,2,4954
261,8/5/2023,CUST261,2,5681
262,7/30/2023,CUST262,4,3467
263,8/28/2023,CUST263,2,4583
264,1/28/2023,CUST264,3,5186
265,12/11/2023,CUST265,3,6251
266,12/1/2023,CUST266,2,6207
267,11/27/2023,CUST267,3,4134
268,2/20/2023,CUST268,1,2736
269,2/1/2023,CUST269,4,2425
270,7/26/2023,CUST270,1,6170
271,6/23/2023,CUST271,4,3501
272,2/25/2023,CUST272,2,2953
273,5/8/2023,CUST273,1,2263
274,4/9/2023,CUST274,2,2157
275,4/8/2023,CUST275,2,2861
276,10/2/2023,CUST276,4,1501
277,8/18/2023,CUST277,4,4570
278,3/13/2023,CUST278,4,2348
279,8/5/2023,CUST279,1,6658
280,4/4/2023,CUST280,3,6874
281,5/23/2023,CUST281,4,6597
282,8/25/2023,CUST282,4,1935
283,5/8/2023,CUST283,1,3797
284,2/8/2023,CUST284,4,3619
285,8/15/2023,CUST285,1,3877
286,10/9/2023,CUST286,2,3048
287,2/20/2023,CUST287,4,5003
288,1/26/2023,CUST288,4,3617
289,11/30/2023,CUST289,2,2300
290,10/4/2023,CUST290,2,6862
291,1/8/2023,CUST291,2,3695
292,2/17/2023,CUST292,4,2363
293,5/2/2023,CUST293,3,2197
294,3/27/2023,CUST294,3,3752
295,7/28/2023,CUST295,3,1824
296,9/6/2023,CUST296,4,6909
297,9/4/2023,CUST297,2,3018
298,4/20/2023,CUST298,4,5036
299,7/25/2023,CUST299,2,2367
300,1/31/2023,CUST300,4,5001
301,3/26/2023,CUST301,4,2078
302,7/14/2023,CUST302,2,2208
303,1/2/2023,CUST303,3,6994
304,7/19/2023,CUST304,2,6010
305,5/16/2023,CUST305,1,6178
306,8/21/2023,CUST306,1,2678
307,5/27/2023,CUST307,2,4292
308,8/5/2023,CUST308,4,3689
309,12/23/2023,CUST309,1,3639
310,10/12/2023,CUST310,1,2886
311,12/5/2023,CUST311,4,3131
312,9/7/2023,CUST312,4,6709
313,3/21/2023,CUST313,3,4050
314,4/8/2023,CUST314,4,2850
315,6/1/2023,CUST315,2,2333
316,4/22/2023,CUST316,2,6227
317,1/30/2023,CUST317,3,5582
318,10/24/2023,CUST318,1,2842
319,10/5/2023,CUST319,1,3706
320,2/1/2023,CUST320,4,1903
321,6/10/2023,CUST321,2,3889
322,1/30/2023,CUST322,1,2402
323,1/26/2023,CUST323,3,4878
324,10/27/2023,CUST324,3,6411
325,9/2/2023,CUST325,2,1684
326,9/15/2023,CUST326,3,6223
327,9/29/2023,CUST327,3,5670
328,3/22/2023,CUST328,2,2281
329,1/30/2023,CUST329,4,6946
330,9/18/2023,CUST330,4,3202
331,2/11/2023,CUST331,3,5631
332,4/6/2023,CUST332,4,3879
333,2/5/2023,CUST333,4,4208
334,11/1/2023,CUST334,3,3985
335,2/4/2023,CUST335,4,4080
336,12/12/2023,CUST336,3,6202
337,5/1/2023,CUST337,1,6144
338,7/26/2023,CUST338,2,5763
339,3/3/2023,CUST339,2,6713
340,10/19/2023,CUST340,4,3532
341,5/7/2023,CUST341,4,3244
342,10/24/2023,CUST342,4,5347
343,11/1/2023,CUST343,2,6259
344,1/21/2023,CUST344,1,4913
345,11/14/2023,CUST345,1,3727
346,2/11/2023,CUST346,2,4148
347,8/3/2023,CUST347,1,4827
348,12/3/2023,CUST348,2,4532
349,10/26/2023,CUST349,1,2292
350,10/17/2023,CUST350,3,4985
351,9/25/2023,CUST351,3,3364
352,6/11/2023,CUST352,2,2297
353,5/14/2023,CUST353,1,4055
354,4/15/2023,CUST354,4,2601
355,12/9/2023,CUST355,1,5909
356,6/10/2023,CUST356,3,5950
357,5/3/2023,CUST357,3,3810
358,5/16/2023,CUST358,1,5861
359,7/22/2023,CUST359,1,3418
360,3/9/2023,CUST360,4,4462
361,12/10/2023,CUST361,4,6489
362,11/27/2023,CUST362,1,4535
363,6/3/2023,CUST363,1,4841
364,8/23/2023,CUST364,1,6763
365,6/11/2023,CUST365,1,2392
366,2/7/2023,CUST366,2,5653
367,1/5/2023,CUST367,1,5290
368,8/23/2023,CUST368,4,2440
369,11/15/2023,CUST369,3,1839
370,10/16/2023,CUST370,2,6453
371,2/21/2023,CUST371,1,3735
372,2/7/2023,CUST372,3,6184
373,10/3/2023,CUST373,2,4183
374,4/20/2023,CUST374,3,4738
375,9/17/2023,CUST375,1,4712
376,5/16/2023,CUST376,1,3413
377,3/9/2023,CUST377,4,3743
378,6/28/2023,CUST378,1,4733
379,2/5/2023,CUST379,1,1879
380,5/6/2023,CUST380,2,6032
381,7/9/2023,CUST381,4,2164
382,5/26/2023,CUST382,2,5530
383,3/22/2023,CUST383,3,1527
384,8/13/2023,CUST384,1,5983
385,10/6/2023,CUST385,3,4654
386,12/27/2023,CUST386,2,3547
387,6/4/2023,CUST387,1,6796
388,11/10/2023,CUST388,1,2366
389,12/1/2023,CUST389,2,2620
390,9/28/2023,CUST390,2,2629
391,1/5/2023,CUST391,2,3950
392,12/8/2023,CUST392,2,1936
393,10/11/2023,CUST393,2,1542
394,6/3/2023,CUST394,1,6715
395,12/6/2023,CUST395,2,3491
396,2/23/2023,CUST396,1,4730
397,3/10/2023,CUST397,1,1558
398,5/16/2023,CUST398,2,3254
399,3/1/2023,CUST399,2,4234
400,2/24/2023,CUST400,4,3080
401,10/11/2023,CUST401,1,5915
402,3/21/2023,CUST402,2,6352
403,5/20/2023,CUST403,2,1759
404,5/25/2023,CUST404,2,4759
405,11/6/2023,CUST405,4,5302
406,4/18/2023,CUST406,4,3732
407,6/25/2023,CUST407,3,5277
408,4/15/2023,CUST408,1,5299
409,12/18/2023,CUST409,3,3367
410,11/21/2023,CUST410,2,3554
411,5/16/2023,CUST411,4,1942
412,9/16/2023,CUST412,4,6286
413,9/8/2023,CUST413,3,5685
414,5/9/2023,CUST414,4,6283
415,1/27/2023,CUST415,2,5348
416,2/17/2023,CUST416,4,5242
417,11/21/2023,CUST417,3,3591
418,8/5/2023,CUST418,2,3344
419,5/22/2023,CUST419,3,6707
420,1/23/2023,CUST420,4,5563
421,1/2/2023,CUST421,3,4968
422,6/20/2023,CUST422,3,5889
423,3/8/2023,CUST423,1,4266
424,11/23/2023,CUST424,4,1681
425,5/15/2023,CUST425,4,2768
426,3/24/2023,CUST426,3,5101
427,8/15/2023,CUST427,1,4540
428,10/10/2023,CUST428,4,5891
429,12/28/2023,CUST429,2,4368
430,8/7/2023,CUST430,3,4330
431,10/15/2023,CUST431,4,2062
432,1/5/2023,CUST432,2,5213
433,2/27/2023,CUST433,4,5327
434,2/8/2023,CUST434,2,6525
435,12/20/2023,CUST435,3,2977
436,3/18/2023,CUST436,4,6576
437,10/7/2023,CUST437,4,6984
438,1/19/2023,CUST438,1,4251
439,7/9/2023,CUST439,3,6574
440,10/26/2023,CUST440,2,5929
441,10/10/2023,CUST441,4,6862
442,3/17/2023,CUST442,4,2319
443,8/9/2023,CUST443,2,4241
444,3/7/2023,CUST444,3,5097
445,1/22/2023,CUST445,1,3947
446,6/7/2023,CUST446,1,6982
447,7/6/2023,CUST447,4,2638
448,1/21/2023,CUST448,2,2821
449,7/3/2023,CUST449,4,1547
450,4/18/2023,CUST450,2,3652
451,12/16/2023,CUST451,1,1859
452,5/8/2023,CUST452,3,4510
453,12/8/2023,CUST453,2,3264
454,2/22/2023,CUST454,1,6868
455,7/1/2023,CUST455,4,4360
456,10/14/2023,CUST456,2,6860
457,7/28/2023,CUST457,3,4908
458,11/14/2023,CUST458,4,4987
459,3/21/2023,CUST459,4,3566
460,5/2/2023,CUST460,1,3675
461,3/25/2023,CUST461,2,6033
462,4/1/2023,CUST462,4,2911
463,7/31/2023,CUST463,3,1620
464,1/13/2023,CUST464,2,5087
465,4/2/2023,CUST465,3,6571
466,6/20/2023,CUST466,4,3262
467,7/30/2023,CUST467,3,4396
468,12/9/2023,CUST468,1,5605
469,5/8/2023,CUST469,3,4017
470,5/17/2023,CUST470,2,4132
471,3/23/2023,CUST471,3,4042
472,12/26/2023,CUST472,3,4523
473,2/25/2023,CUST473,1,6277
474,7/15/2023,CUST474,3,1807
475,1/20/2023,CUST475,3,4569
476,8/29/2023,CUST476,4,5869
477,4/24/2023,CUST477,4,5836
478,4/13/2023,CUST478,2,3210
479,8/24/2023,CUST479,4,2148
480,6/29/2023,CUST480,4,4106
481,6/6/2023,CUST481,4,4958
482,4/27/2023,CUST482,4,6063
483,4/25/2023,CUST483,1,5082
484,1/13/2023,CUST484,4,2193
485,12/4/2023,CUST485,1,2558
486,4/9/2023,CUST486,1,4343
487,7/24/2023,CUST487,4,2356
488,6/18/2023,CUST488,3,4228
489,5/23/2023,CUST489,1,5962
490,2/5/2023,CUST490,3,1842
491,5/23/2023,CUST491,3,1623
492,6/29/2023,CUST492,4,3039
493,11/25/2023,CUST493,2,5203
494,9/18/2023,CUST494,4,5581
495,7/24/2023,CUST495,2,1619
496,12/14/2023,CUST496,2,6199
497,10/2/2023,CUST497,4,4797
498,6/19/2023,CUST498,4,3632
499,1/15/2023,CUST499,2,1981
500,3/1/2023,CUST500,4,3085
501,5/14/2023,CUST501,2,3591
502,4/2/2023,CUST502,3,3371
503,10/25/2023,CUST503,4,1761
504,5/16/2023,CUST504,3,4844
505,1/20/2023,CUST505,1,5326
506,2/25/2023,CUST506,3,5386
507,11/2/2023,CUST507,3,2357
508,8/11/2023,CUST508,2,6920
509,6/26/2023,CUST509,3,6276
510,6/10/2023,CUST510,4,2207
511,8/12/2023,CUST511,2,4454
512,11/7/2023,CUST512,1,3141
513,9/19/2023,CUST513,4,5670
514,3/1/2023,CUST514,1,5326
515,7/17/2023,CUST515,3,6227
516,10/23/2023,CUST516,4,6637
517,4/8/2023,CUST517,4,3643
518,5/11/2023,CUST518,1,1687
519,1/23/2023,CUST519,4,5775
520,12/29/2023,CUST520,4,2162
521,8/12/2023,CUST521,4,3713
522,1/1/2023,CUST522,3,5453
523,9/24/2023,CUST523,1,6158
524,10/3/2023,CUST524,4,5570
525,12/18/2023,CUST525,2,5446
526,12/10/2023,CUST526,2,4485
527,4/11/2023,CUST527,2,5982
528,7/6/2023,CUST528,2,3551
529,8/9/2023,CUST529,3,5953
530,2/5/2023,CUST530,4,1975
531,12/7/2023,CUST531,1,1527
532,6/19/2023,CUST532,4,3805
533,11/16/2023,CUST533,3,5705
534,6/10/2023,CUST534,2,5413
535,12/6/2023,CUST535,3,4709
536,3/5/2023,CUST536,4,3948
537,6/3/2023,CUST537,1,6922
538,9/17/2023,CUST538,3,4407
539,6/8/2023,CUST539,1,4501
540,12/8/2023,CUST540,3,3255
541,7/29/2023,CUST541,1,5986
542,6/17/2023,CUST542,1,2439
543,7/26/2023,CUST543,2,3883
544,12/23/2023,CUST544,1,2041
545,6/1/2023,CUST545,2,4451
546,10/11/2023,CUST546,4,4682
547,3/7/2023,CUST547,4,5300
548,4/9/2023,CUST548,2,2307
549,8/4/2023,CUST549,2,2150
550,12/7/2023,CUST550,3,6451
551,7/14/2023,CUST551,3,4224
552,12/13/2023,CUST552,3,3789
553,3/31/2023,CUST553,4,6258
554,11/12/2023,CUST554,3,4181
555,10/19/2023,CUST555,1,6838
556,6/4/2023,CUST556,1,3973
557,7/27/2023,CUST557,3,3436
